baker,series,episode,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
Martha,5,3,3,IN,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,17,Student,"Ascot, Berkshire"
Nancy,5,3,5,IN,Cider and Walnut Crusty Rolls,'Full English' Stromboli,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Norman,5,3,4,IN,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,66,Retired Naval Officer,"Portknockie, Moray"
Richard,5,3,6,IN,Rye and Cranberry Rolls,Pesto Pinwheel,38,Builder,"Mill Hill, London"
Jordan,5,3,10,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,32,IT Manager,"Sneinton, Nottingham"
Luis,5,3,2,STAR BAKER,Opposites Attract Rolls,Roscón de Reyes,42,Graphic Designer,"Poynton, Cheshire"
Claire,5,3,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,3,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Chetna,5,4,3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,Fashion Designer,"Broadstairs, Kent"
Diana,5,4,9,IN,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Kate,5,4,7,IN,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",41,Furniture Restorer,"Brighton, East Sussex"
Luis,5,4,2,IN,Pears in Puddings,Bakewell Alaska,42,Graphic Designer,"Poynton, Cheshire"
Martha,5,4,1,IN,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,17,Student,"Ascot, Berkshire"
Nancy,5,4,4,IN,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Norman,5,4,8,IN,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,66,Retired Naval Officer,"Portknockie, Moray"
Iain,5,4,6,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,Construction Engineer,London/Belfast
Richard,5,4,5,STAR BAKER,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,38,Builder,"Mill Hill, London"
Claire,5,4,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,4,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Jordan,5,4,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Chetna,5,5,2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,35,Fashion Designer,"Broadstairs, Kent"
Luis,5,5,6,IN,Tropical Manchester Tart,Four Fruity Seasons Tower,42,Graphic Designer,"Poynton, Cheshire"
Martha,5,5,1,IN,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,17,Student,"Ascot, Berkshire"
Nancy,5,5,4,IN,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Richard,5,5,7,IN,Fig and Orange Tart,Three Course Autumn Pie Feast,38,Builder,"Mill Hill, London"
Norman,5,5,5,OUT,Tarte au Citron,Pieful Tower,66,Retired Naval Officer,"Portknockie, Moray"
Kate,5,5,3,STAR BAKER,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",41,Furniture Restorer,"Brighton, East Sussex"
Diana,5,5,NA,WD,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Claire,5,5,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,5,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,5,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,5,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Diana,5,6,NA,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Kate,5,6,6,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,41,Furniture Restorer,"Brighton, East Sussex"
Luis,5,6,3,IN,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,42,Graphic Designer,"Poynton, Cheshire"
Martha,5,6,4,IN,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,17,Student,"Ascot, Berkshire"
Nancy,5,6,1,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Richard,5,6,5,IN,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,38,Builder,"Mill Hill, London"
Chetna,5,6,2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,35,Fashion Designer,"Broadstairs, Kent"
Claire,5,6,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,6,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,6,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,6,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Norman,5,6,NA,NA,NA,NA,66,Retired Naval Officer,"Portknockie, Moray"
Chetna,5,7,6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,35,Fashion Designer,"Broadstairs, Kent"
Diana,5,7,NA,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Luis,5,7,5,IN,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",42,Graphic Designer,"Poynton, Cheshire"
Martha,5,7,3,IN,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,17,Student,"Ascot, Berkshire"
Nancy,5,7,2,IN,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Kate,5,7,4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,41,Furniture Restorer,"Brighton, East Sussex"
Richard,5,7,1,STAR BAKER,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",38,Builder,"Mill Hill, London"
Claire,5,7,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,7,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,7,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,7,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Norman,5,7,NA,NA,NA,NA,66,Retired Naval Officer,"Portknockie, Moray"
Chetna,5,8,1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,35,Fashion Designer,"Broadstairs, Kent"
Diana,5,8,NA,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Luis,5,8,2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,Graphic Designer,"Poynton, Cheshire"
Nancy,5,8,3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Martha,5,8,5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,17,Student,"Ascot, Berkshire"
Richard,5,8,4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,38,Builder,"Mill Hill, London"
Claire,5,8,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,8,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,8,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,8,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Kate,5,8,NA,NA,NA,NA,41,Furniture Restorer,"Brighton, East Sussex"
Norman,5,8,NA,NA,NA,NA,66,Retired Naval Officer,"Portknockie, Moray"
Diana,5,9,NA,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Luis,5,9,1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,Graphic Designer,"Poynton, Cheshire"
Nancy,5,9,3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Chetna,5,9,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,Fashion Designer,"Broadstairs, Kent"
Richard,5,9,2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,38,Builder,"Mill Hill, London"
Claire,5,9,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,9,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,9,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,9,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Kate,5,9,NA,NA,NA,NA,41,Furniture Restorer,"Brighton, East Sussex"
Martha,5,9,NA,NA,NA,NA,17,Student,"Ascot, Berkshire"
Norman,5,9,NA,NA,NA,NA,66,Retired Naval Officer,"Portknockie, Moray"
Diana,5,10,NA,IN,NA,NA,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Luis,5,10,2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,42,Graphic Designer,"Poynton, Cheshire"
Richard,5,10,3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,38,Builder,"Mill Hill, London"
Nancy,5,10,1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Chetna,5,10,NA,NA,NA,NA,35,Fashion Designer,"Broadstairs, Kent"
Claire,5,10,NA,NA,NA,NA,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Enwezor,5,10,NA,NA,NA,NA,39,Business Consultant,"Portsmouth, Hampshire"
Iain,5,10,NA,NA,NA,NA,31,Construction Engineer,London/Belfast
Jordan,5,10,NA,NA,NA,NA,32,IT Manager,"Sneinton, Nottingham"
Kate,5,10,NA,NA,NA,NA,41,Furniture Restorer,"Brighton, East Sussex"
Martha,5,10,NA,NA,NA,NA,17,Student,"Ascot, Berkshire"
Norman,5,10,NA,NA,NA,NA,66,Retired Naval Officer,"Portknockie, Moray"
Alvin,6,1,2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,37,Nurse,"Bracknell, Berkshire"
Dorret,6,1,5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,53,Accountant,"Penwortham, Lancashire"
Flora,6,1,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Ian,6,1,8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Mat,6,1,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau,37,Fire fighter,London
Nadiya,6,1,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,30,Full-time mother,Leeds / Luton
Paul,6,1,10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,49,Prison governor,"Swansea, Wales"
Sandy,6,1,9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,49,Child welfare officer,"Yeadon, West Yorkshire"
Tamal,6,1,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,29,Trainee anaesthetist,Manchester
Ugnė,6,1,1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Stu,6,1,11,OUT,Marley Madeira Cake,Purple Forest Gâteau,35,Professional musician,"Guildford, Surrey"
Marie,6,1,3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest,66,Retired,"Auchterarder, Perthshire"
Alvin,6,2,6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,37,Nurse,"Bracknell, Berkshire"
Dorret,6,2,1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,53,Accountant,"Penwortham, Lancashire"
Flora,6,2,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Mat,6,2,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,37,Fire fighter,London
Nadiya,6,2,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,30,Full-time mother,Leeds / Luton
Paul,6,2,10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,49,Prison governor,"Swansea, Wales"
Sandy,6,2,4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,49,Child welfare officer,"Yeadon, West Yorkshire"
Tamal,6,2,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,29,Trainee anaesthetist,Manchester
Ugnė,6,2,7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Marie,6,2,11,OUT,Biscotti Italiano,Russian Box,66,Retired,"Auchterarder, Perthshire"
Ian,6,2,3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Stu,6,2,NA,NA,NA,NA,35,Professional musician,"Guildford, Surrey"
Alvin,6,3,4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,37,Nurse,"Bracknell, Berkshire"
Flora,6,3,2,IN,Fig and Hazelnut Rye Breads,Herb Couture,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Mat,6,3,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,37,Fire fighter,London
Nadiya,6,3,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,30,Full-time mother,Leeds / Luton
Paul,6,3,10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle,49,Prison governor,"Swansea, Wales"
Sandy,6,3,7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,49,Child welfare officer,"Yeadon, West Yorkshire"
Tamal,6,3,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle,29,Trainee anaesthetist,Manchester
Ugnė,6,3,5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Dorret,6,3,6,OUT,Walnut and Stilton Soda Breads,Unmade Bread,53,Accountant,"Penwortham, Lancashire"
Ian,6,3,1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Marie,6,3,NA,NA,NA,NA,66,Retired,"Auchterarder, Perthshire"
Stu,6,3,NA,NA,NA,NA,35,Professional musician,"Guildford, Surrey"
Alvin,6,4,9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,37,Nurse,"Bracknell, Berkshire"
Flora,6,4,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Mat,6,4,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,37,Fire fighter,London
Nadiya,6,4,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,30,Full-time mother,Leeds / Luton
Paul,6,4,1,IN,Almond Crème Brûlées,Berry Cheesecake Tower,49,Prison governor,"Swansea, Wales"
Tamal,6,4,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",29,Trainee anaesthetist,Manchester
Ugnė,6,4,2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Sandy,6,4,6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",49,Child welfare officer,"Yeadon, West Yorkshire"
Ian,6,4,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Dorret,6,4,NA,NA,NA,NA,53,Accountant,"Penwortham, Lancashire"
Marie,6,4,NA,NA,NA,NA,66,Retired,"Auchterarder, Perthshire"
Stu,6,4,NA,NA,NA,NA,35,Professional musician,"Guildford, Surrey"
Alvin,6,5,8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",37,Nurse,"Bracknell, Berkshire"
Flora,6,5,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Ian,6,5,5,IN,Honey and Flowers Cake,Dessert Island,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Mat,6,5,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,37,Fire fighter,London
Paul,6,5,2,IN,Carrot & Pecan Cake,Dessert Island Getaway,49,Prison governor,"Swansea, Wales"
Tamal,6,5,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,29,Trainee anaesthetist,Manchester
Ugnė,6,5,6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Nadiya,6,5,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,30,Full-time mother,Leeds / Luton
Dorret,6,5,NA,NA,NA,NA,53,Accountant,"Penwortham, Lancashire"
Marie,6,5,NA,NA,NA,NA,66,Retired,"Auchterarder, Perthshire"
Sandy,6,5,NA,NA,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire"
Stu,6,5,NA,NA,NA,NA,35,Professional musician,"Guildford, Surrey"
Flora,6,6,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
